Time, Latitude, Longitude, SoilHumidity, TempSoil, Conductivity, PH, Nitrogen, Phosphorus, Potassium, Salinity, TotalDissolvedSolids, AirHum, Airpress, Airtemp, Co2, light
2025-03-04 17:35:10, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:15, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:23, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:28, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:27, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:32, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:37, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:42, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:47, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:52, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:35:57, 40.01, -105.26, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:36:10, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:36:15, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:36:20, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:36:25, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:36:30, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
2025-03-04 17:36:35, 40.06, -105.18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14

